city,city_type,year,country,estimate
Massachusetts,gateway,2024,Denmark,920
Amherst Town,gateway,2024,Denmark,10
"Arlington CDP, Massachusetts",gateway,2024,Denmark,23
Boston,gateway,2024,Denmark,75
"Boxford CDP, Massachusetts",gateway,2024,Denmark,103
"Brookline CDP, Massachusetts",gateway,2024,Denmark,109
"Burlington CDP, Massachusetts",gateway,2024,Denmark,13
"Buzzards Bay CDP, Massachusetts",gateway,2024,Denmark,13
Cambridge,gateway,2024,Denmark,96
Gloucester,gateway,2024,Denmark,8
"Lexington CDP, Massachusetts",gateway,2024,Denmark,104
Malden,gateway,2024,Denmark,16
"Marblehead CDP, Massachusetts",gateway,2024,Denmark,9
"Mashpee Neck CDP, Massachusetts",gateway,2024,Denmark,10
"Nantucket CDP, Massachusetts",gateway,2024,Denmark,7
Newton,gateway,2024,Denmark,31
North Adams,gateway,2024,Denmark,8
Revere,gateway,2024,Denmark,107
"Wellesley CDP, Massachusetts",gateway,2024,Denmark,9
Worcester,gateway,2024,Denmark,10
Massachusetts,gateway,2024,Ireland,12836
"Abington CDP, Massachusetts",gateway,2024,Ireland,113
"Acushnet Center CDP, Massachusetts",gateway,2024,Ireland,10
Agawam Town,gateway,2024,Ireland,4
Amesbury,gateway,2024,Ireland,29
"Andover CDP, Massachusetts",gateway,2024,Ireland,33
"Arlington CDP, Massachusetts",gateway,2024,Ireland,133
Attleboro,gateway,2024,Ireland,42
Barnstable Town,gateway,2024,Ireland,67
"Belmont CDP, Massachusetts",gateway,2024,Ireland,79
Beverly,gateway,2024,Ireland,22
Boston,gateway,2024,Ireland,1855
Braintree Town,gateway,2024,Ireland,365
"Brewster CDP, Massachusetts",gateway,2024,Ireland,36
Bridgewater Town,gateway,2024,Ireland,12
Brockton,gateway,2024,Ireland,304
"Brookline CDP, Massachusetts",gateway,2024,Ireland,51
"Burlington CDP, Massachusetts",gateway,2024,Ireland,16
Cambridge,gateway,2024,Ireland,337
Chicopee,gateway,2024,Ireland,28
"Cochituate CDP, Massachusetts",gateway,2024,Ireland,38
"Cordaville CDP, Massachusetts",gateway,2024,Ireland,18
"Danvers CDP, Massachusetts",gateway,2024,Ireland,19
"Dedham CDP, Massachusetts",gateway,2024,Ireland,152
"Dover CDP, Massachusetts",gateway,2024,Ireland,13
"East Brookfield CDP, Massachusetts",gateway,2024,Ireland,4
"East Dennis CDP, Massachusetts",gateway,2024,Ireland,7
"East Falmouth CDP, Massachusetts",gateway,2024,Ireland,6
"East Sandwich CDP, Massachusetts",gateway,2024,Ireland,6
