"GEO_ID","NAME","B05001_001E","B05001_001M","B05001_002E","B05001_002M","B05001_003E","B05001_003M","B05001_004E","B05001_004M","B05001_005E","B05001_005M","B05001_006E","B05001_006M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!U.S. citizen, born in the United States","Margin of Error!!Total:!!U.S. citizen, born in the United States","Estimate!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Margin of Error!!Total:!!U.S. citizen, born in Puerto Rico or U.S. Island Areas","Estimate!!Total:!!U.S. citizen, born abroad of American parent(s)","Margin of Error!!Total:!!U.S. citizen, born abroad of American parent(s)","Estimate!!Total:!!U.S. citizen by naturalization","Margin of Error!!Total:!!U.S. citizen by naturalization","Estimate!!Total:!!Not a U.S. citizen","Margin of Error!!Total:!!Not a U.S. citizen",
"0400000US25","Massachusetts","7044056","*****","5566593","9736","127716","3787","78541","2871","683507","7478","587699","9669",
"1600000US2500135","Abington CDP, Massachusetts","17053","25","15092","533","0","21","52","48","1389","377","520","244",
"1600000US2500530","Acushnet Center CDP, Massachusetts","2810","409","2536","383","50","62","22","27","172","92","30","26",
"1600000US2500590","Adams CDP, Massachusetts","5427","366","5263","351","45","35","0","19","112","85","7","12",
"1600000US2500840","Agawam Town city, Massachusetts","28539","44","25821","569","231","174","147","82","1473","386","867","382",
"1600000US2501185","Amesbury city, Massachusetts","17403","31","15720","454","180","201","123","127","671","210","709","313",
"1600000US2501370","Amherst Town city, Massachusetts","38182","37","31366","679","285","274","372","205","2583","419","3576","562",
"1600000US2501430","Andover CDP, Massachusetts","9451","785","8121","587","43","36","286","273","602","191","399","217",
"1600000US2501640","Arlington CDP, Massachusetts","46350","40","36616","821","306","227","819","201","4373","549","4236","656",
"1600000US2502515","Athol CDP, Massachusetts","8801","568","8403","581","75","78","37","34","154","119","132","104",
"1600000US2502690","Attleboro city, Massachusetts","46762","55","40906","729","277","186","241","111","3606","508","1732","555",
"1600000US2503040","Ayer CDP, Massachusetts","3098","401","2660","355","26","31","18","27","332","188","62","81",
"1600000US2503355","Baldwinville CDP, Massachusetts","2528","837","2478","837","11","18","0","14","13","29","26","36",
"1600000US2503690","Barnstable Town city, Massachusetts","49568","34","40384","1286","0","29","908","344","3785","566","4491","1097",
"1600000US2503705","Barre CDP, Massachusetts","673","324","563","295","0","14","49","56","61","101","0","14",
"1600000US2504790","Belchertown CDP, Massachusetts","2355","484","2230","494","0","14","13","21","66","53","46","44",
"1600000US2504965","Bellingham CDP, Massachusetts","5325","704","4963","702","0","19","87","100","53","39","222","129",
"1600000US2505105","Belmont CDP, Massachusetts","27175","44","19590","589","28","32","436","131","4040","427","3081","464",
