"GEO_ID","NAME","B05002_001E","B05002_001M","B05002_002E","B05002_002M","B05002_003E","B05002_003M","B05002_004E","B05002_004M","B05002_005E","B05002_005M","B05002_006E","B05002_006M","B05002_007E","B05002_007M","B05002_008E","B05002_008M","B05002_009E","B05002_009M","B05002_010E","B05002_010M","B05002_011E","B05002_011M","B05002_012E","B05002_012M","B05002_013E","B05002_013M","B05002_014E","B05002_014M","B05002_015E","B05002_015M","B05002_016E","B05002_016M","B05002_017E","B05002_017M","B05002_018E","B05002_018M","B05002_019E","B05002_019M","B05002_020E","B05002_020M","B05002_021E","B05002_021M","B05002_022E","B05002_022M","B05002_023E","B05002_023M","B05002_024E","B05002_024M","B05002_025E","B05002_025M","B05002_026E","B05002_026M","B05002_027E","B05002_027M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Native:","Margin of Error!!Total:!!Native:","Estimate!!Total:!!Native:!!Born in state of residence","Margin of Error!!Total:!!Native:!!Born in state of residence","Estimate!!Total:!!Native:!!Born in other state in the United States:","Margin of Error!!Total:!!Native:!!Born in other state in the United States:","Estimate!!Total:!!Native:!!Born in other state in the United States:!!Northeast","Margin of Error!!Total:!!Native:!!Born in other state in the United States:!!Northeast","Estimate!!Total:!!Native:!!Born in other state in the United States:!!Midwest","Margin of Error!!Total:!!Native:!!Born in other state in the United States:!!Midwest","Estimate!!Total:!!Native:!!Born in other state in the United States:!!South","Margin of Error!!Total:!!Native:!!Born in other state in the United States:!!South","Estimate!!Total:!!Native:!!Born in other state in the United States:!!West","Margin of Error!!Total:!!Native:!!Born in other state in the United States:!!West","Estimate!!Total:!!Native:!!Born outside the United States:","Margin of Error!!Total:!!Native:!!Born outside the United States:","Estimate!!Total:!!Native:!!Born outside the United States:!!Puerto Rico","Margin of Error!!Total:!!Native:!!Born outside the United States:!!Puerto Rico","Estimate!!Total:!!Native:!!Born outside the United States:!!U.S. Island Areas","Margin of Error!!Total:!!Native:!!Born outside the United States:!!U.S. Island Areas","Estimate!!Total:!!Native:!!Born outside the United States:!!Born abroad of American parent(s)","Margin of Error!!Total:!!Native:!!Born outside the United States:!!Born abroad of American parent(s)","Estimate!!Total:!!Foreign-born:","Margin of Error!!Total:!!Foreign-born:","Estimate!!Total:!!Foreign-born:!!Naturalized U.S. citizen","Margin of Error!!Total:!!Foreign-born:!!Naturalized U.S. citizen","Estimate!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Europe","Margin of Error!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Europe","Estimate!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Asia","Margin of Error!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Asia","Estimate!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Africa","Margin of Error!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Africa","Estimate!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Oceania","Margin of Error!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Oceania","Estimate!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Latin America","Margin of Error!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Latin America","Estimate!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Northern America","Margin of Error!!Total:!!Foreign-born:!!Naturalized U.S. citizen!!Northern America","Estimate!!Total:!!Foreign-born:!!Not a U.S. citizen","Margin of Error!!Total:!!Foreign-born:!!Not a U.S. citizen","Estimate!!Total:!!Foreign-born:!!Not a U.S. citizen!!Europe","Margin of Error!!Total:!!Foreign-born:!!Not a U.S. citizen!!Europe","Estimate!!Total:!!Foreign-born:!!Not a U.S. citizen!!Asia","Margin of Error!!Total:!!Foreign-born:!!Not a U.S. citizen!!Asia","Estimate!!Total:!!Foreign-born:!!Not a U.S. citizen!!Africa","Margin of Error!!Total:!!Foreign-born:!!Not a U.S. citizen!!Africa","Estimate!!Total:!!Foreign-born:!!Not a U.S. citizen!!Oceania","Margin of Error!!Total:!!Foreign-born:!!Not a U.S. citizen!!Oceania","Estimate!!Total:!!Foreign-born:!!Not a U.S. citizen!!Latin America","Margin of Error!!Total:!!Foreign-born:!!Not a U.S. citizen!!Latin America","Estimate!!Total:!!Foreign-born:!!Not a U.S. citizen!!Northern America","Margin of Error!!Total:!!Foreign-born:!!Not a U.S. citizen!!Northern America",
"0400000US25","Massachusetts","7044056","*****","5772850","9721","4135811","11938","1430782","11298","825554","8070","190382","4041","260507","4572","154339","3226","206257","4584","125388","3812","2328","430","78541","2871","1271206","9721","683507","7478","154427","4075","215006","3686","80248","2919","1652","293","218187","4824","13987","954","587699","9669","66042","2708","170528","3903","43468","2595","2457","397","292263","7714","12941","920",
"1600000US2500135","Abington CDP, Massachusetts","17053","25","15144","530","13263","629","1829","457","1084","311","203","155","305","127","237","125","52","48","0","21","0","21","52","48","1909","527","1389","377","327","244","280","166","297","194","0","21","434","232","51","52","520","244","138","165","145","107","49","74","0","21","188","135","0","21",
"1600000US2500530","Acushnet Center CDP, Massachusetts","2810","409","2608","383","2274","372","262","134","225","121","0","14","27","31","10","15","72","66","50","62","0","14","22","27","202","103","172","92","119","80","24","29","29","32","0","14","0","14","0","14","30","26","19","21","11","18","0","14","0","14","0","14","0","14",
"1600000US2500590","Adams CDP, Massachusetts","5427","366","5308","356","4294","384","969","259","594","211","30","39","322","143","23","33","45","35","45","35","0","19","0","19","119","90","112","85","43","30","58","75","1","3","0","19","10","17","0","19","7","12","0","19","7","12","0","19","0","19","0","19","0","19",
"1600000US2500840","Agawam Town city, Massachusetts","28539","44","26199","545","20022","835","5799","792","3957","671","546","184","973","320","323","115","378","195","231","174","0","25","147","82","2340","546","1473","386","553","174","532","243","151","144","0","25","102","65","135","144","867","382","460","328","187","131","49","52","0","25","161","164","10","15",
"1600000US2501185","Amesbury city, Massachusetts","17403","31","16023","409","11540","511","4180","475","2720","394","395","118","670","269","395","139","303","241","180","201","0","21","123","127","1380","405","671","210","265","189","148","95","81","94","20","22","93","58","64","38","709","313","162","131","127","176","224","232","0","21","94","77","102","122",
"1600000US2501370","Amherst Town city, Massachusetts","38182","37","32023","680","18700","851","12666","908","6035","593","2435","474","2150","340","2046","461","657","334","285","274","0","29","372","205","6159","682","2583","419","383","168","1366","260","346","147","14","23","379","167","95","71","3576","562","415","135","2215","356","298","127","11","18","602","322","35","34",
"1600000US2501430","Andover CDP, Massachusetts","9451","785","8450","703","5744","522","2377","423","1396","271","365","114","491","330","125","78","329","274","43","36","0","19","286","273","1001","290","602","191","137","70","250","153","0","19","0","19","169","100","46","47","399","217","43","43","298","186","0","19","0","19","54","91","4","8",
"1600000US2501640","Arlington CDP, Massachusetts","46350","40","37741","813","21905","983","14711","803","7757","724","2408","354","2630","399","1916","365","1125","318","306","227","0","29","819","201","8609","816","4373","549","1805","368","1692","328","182","113","37","47","561","185","96","56","4236","656","639","189","2898","554","143","119","0","29","387","198","169","154",
