"GEO_ID","NAME","B05003_001E","B05003_001M","B05003_002E","B05003_002M","B05003_003E","B05003_003M","B05003_004E","B05003_004M","B05003_005E","B05003_005M","B05003_006E","B05003_006M","B05003_007E","B05003_007M","B05003_008E","B05003_008M","B05003_009E","B05003_009M","B05003_010E","B05003_010M","B05003_011E","B05003_011M","B05003_012E","B05003_012M","B05003_013E","B05003_013M","B05003_014E","B05003_014M","B05003_015E","B05003_015M","B05003_016E","B05003_016M","B05003_017E","B05003_017M","B05003_018E","B05003_018M","B05003_019E","B05003_019M","B05003_020E","B05003_020M","B05003_021E","B05003_021M","B05003_022E","B05003_022M","B05003_023E","B05003_023M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Male:","Margin of Error!!Total:!!Male:","Estimate!!Total:!!Male:!!Under 18 years:","Margin of Error!!Total:!!Male:!!Under 18 years:","Estimate!!Total:!!Male:!!Under 18 years:!!Native","Margin of Error!!Total:!!Male:!!Under 18 years:!!Native","Estimate!!Total:!!Male:!!Under 18 years:!!Foreign-born:","Margin of Error!!Total:!!Male:!!Under 18 years:!!Foreign-born:","Estimate!!Total:!!Male:!!Under 18 years:!!Foreign-born:!!Naturalized U.S. citizen","Margin of Error!!Total:!!Male:!!Under 18 years:!!Foreign-born:!!Naturalized U.S. citizen","Estimate!!Total:!!Male:!!Under 18 years:!!Foreign-born:!!Not a U.S. citizen","Margin of Error!!Total:!!Male:!!Under 18 years:!!Foreign-born:!!Not a U.S. citizen","Estimate!!Total:!!Male:!!18 years and over:","Margin of Error!!Total:!!Male:!!18 years and over:","Estimate!!Total:!!Male:!!18 years and over:!!Native","Margin of Error!!Total:!!Male:!!18 years and over:!!Native","Estimate!!Total:!!Male:!!18 years and over:!!Foreign-born:","Margin of Error!!Total:!!Male:!!18 years and over:!!Foreign-born:","Estimate!!Total:!!Male:!!18 years and over:!!Foreign-born:!!Naturalized U.S. citizen","Margin of Error!!Total:!!Male:!!18 years and over:!!Foreign-born:!!Naturalized U.S. citizen","Estimate!!Total:!!Male:!!18 years and over:!!Foreign-born:!!Not a U.S. citizen","Margin of Error!!Total:!!Male:!!18 years and over:!!Foreign-born:!!Not a U.S. citizen","Estimate!!Total:!!Female:","Margin of Error!!Total:!!Female:","Estimate!!Total:!!Female:!!Under 18 years:","Margin of Error!!Total:!!Female:!!Under 18 years:","Estimate!!Total:!!Female:!!Under 18 years:!!Native","Margin of Error!!Total:!!Female:!!Under 18 years:!!Native","Estimate!!Total:!!Female:!!Under 18 years:!!Foreign-born:","Margin of Error!!Total:!!Female:!!Under 18 years:!!Foreign-born:","Estimate!!Total:!!Female:!!Under 18 years:!!Foreign-born:!!Naturalized U.S. citizen","Margin of Error!!Total:!!Female:!!Under 18 years:!!Foreign-born:!!Naturalized U.S. citizen","Estimate!!Total:!!Female:!!Under 18 years:!!Foreign-born:!!Not a U.S. citizen","Margin of Error!!Total:!!Female:!!Under 18 years:!!Foreign-born:!!Not a U.S. citizen","Estimate!!Total:!!Female:!!18 years and over:","Margin of Error!!Total:!!Female:!!18 years and over:","Estimate!!Total:!!Female:!!18 years and over:!!Native","Margin of Error!!Total:!!Female:!!18 years and over:!!Native","Estimate!!Total:!!Female:!!18 years and over:!!Foreign-born:","Margin of Error!!Total:!!Female:!!18 years and over:!!Foreign-born:","Estimate!!Total:!!Female:!!18 years and over:!!Foreign-born:!!Naturalized U.S. citizen","Margin of Error!!Total:!!Female:!!18 years and over:!!Foreign-born:!!Naturalized U.S. citizen","Estimate!!Total:!!Female:!!18 years and over:!!Foreign-born:!!Not a U.S. citizen","Margin of Error!!Total:!!Female:!!18 years and over:!!Foreign-born:!!Not a U.S. citizen",
"0400000US25","Massachusetts","7044056","*****","3442331","616","698855","458","658152","1975","40703","1947","9408","864","31295","1890","2743476","558","2166734","5590","576742","5560","309161","4292","267581","4979","3601725","616","665326","454","624874","2011","40452","2043","8669","763","31783","2040","2936399","446","2323090","4342","613309","4335","356269","4403","257040","4093",
"1600000US2500135","Abington CDP, Massachusetts","17053","25","8427","522","2008","435","2008","435","0","21","0","21","0","21","6419","342","5506","398","913","280","626","218","287","130","8626","522","1780","324","1780","324","0","21","0","21","0","21","6846","389","5850","476","996","316","763","254","233","149",
"1600000US2500530","Acushnet Center CDP, Massachusetts","2810","409","1241","229","201","113","201","113","0","14","0","14","0","14","1040","195","950","188","90","56","69","48","21","23","1569","248","218","109","218","109","0","14","0","14","0","14","1351","210","1239","207","112","67","103","66","9","15",
"1600000US2500590","Adams CDP, Massachusetts","5427","366","2462","252","324","140","324","140","0","19","0","19","0","19","2138","234","2082","229","56","66","49","62","7","12","2965","302","451","149","451","149","0","19","0","19","0","19","2514","243","2451","243","63","46","63","46","0","19",
"1600000US2500840","Agawam Town city, Massachusetts","28539","44","14142","437","2541","333","2502","332","39","41","0","25","39","41","11601","419","10501","487","1100","280","715","197","385","184","14397","438","2383","337","2339","328","44","58","13","20","31","54","12014","397","10857","472","1157","304","745","253","412","191",
"1600000US2501185","Amesbury city, Massachusetts","17403","31","8487","354","1952","272","1911","279","41","49","22","38","19","30","6535","322","5990","347","545","223","249","110","296","176","8916","353","1524","223","1524","223","0","21","0","21","0","21","7392","299","6598","343","794","248","400","144","394","224",
"1600000US2501370","Amherst Town city, Massachusetts","38182","37","18515","636","1543","266","1494","270","49","44","17","27","32","35","16972","649","14546","691","2426","384","1017","252","1409","299","19667","635","1325","213","1190","199","135","93","11","17","124","90","18342","626","14793","742","3549","393","1538","286","2011","320",
"1600000US2501430","Andover CDP, Massachusetts","9451","785","4353","498","878","242","853","239","25","29","18","21","7","23","3475","411","3028","366","447","174","255","137","192","130","5098","401","718","194","707","192","11","18","11","18","0","19","4380","373","3862","370","518","150","318","105","200","105",
"1600000US2501640","Arlington CDP, Massachusetts","46350","40","21977","646","4696","399","4356","382","340","146","125","98","215","116","17281","590","13632","654","3649","494","1794","295","1855","371","24373","641","4820","499","4558","493","262","97","66","46","196","90","19553","549","15195","630","4358","454","2388","349","1970","341",
"1600000US2502515","Athol CDP, Massachusetts","8801","568","4377","352","1170","290","1150","287","20","30","0","19","20","30","3207","283","3077","303","130","82","54","51","76","64","4424","440","1046","330","1046","330","0","19","0","19","0","19","3378","290","3242","281","136","93","100","89","36","29",
"1600000US2502690","Attleboro city, Massachusetts","46762","55","22389","593","4933","534","4784","536","149","79","123","72","26","32","17456","648","15003","783","2453","412","1680","303","773","311","24373","600","5310","632","5181","637","129","83","5","12","124","81","19063","605","16456","623","2607","377","1798","327","809","264",
"1600000US2503040","Ayer CDP, Massachusetts","3098","401","1320","258","309","106","299","103","10","16","0","14","10","16","1011","213","798","192","213","115","190","112","23","25","1778","295","334","135","324","137","10","15","0","14","10","15","1444","228","1283","231","161","98","142","93","19","30",
"1600000US2503355","Baldwinville CDP, Massachusetts","2528","837","1370","748","599","567","599","567","0","14","0","14","0","14","771","234","741","227","30","41","4","18","26","36","1158","293","230","198","230","198","0","14","0","14","0","14","928","217","919","214","9","23","9","23","0","14",
