"GEO_ID","NAME","B05010_001E","B05010_001M","B05010_002E","B05010_002M","B05010_003E","B05010_003M","B05010_004E","B05010_004M","B05010_005E","B05010_005M","B05010_006E","B05010_006M","B05010_007E","B05010_007M","B05010_008E","B05010_008M","B05010_009E","B05010_009M","B05010_010E","B05010_010M","B05010_011E","B05010_011M","B05010_012E","B05010_012M","B05010_013E","B05010_013M","B05010_014E","B05010_014M","B05010_015E","B05010_015M","B05010_016E","B05010_016M","B05010_017E","B05010_017M","B05010_018E","B05010_018M","B05010_019E","B05010_019M","B05010_020E","B05010_020M","B05010_021E","B05010_021M","B05010_022E","B05010_022M","B05010_023E","B05010_023M","B05010_024E","B05010_024M","B05010_025E","B05010_025M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Under 1.00:","Margin of Error!!Total:!!Under 1.00:","Estimate!!Total:!!Under 1.00:!!Living with two parents:","Margin of Error!!Total:!!Under 1.00:!!Living with two parents:","Estimate!!Total:!!Under 1.00:!!Living with two parents:!!Both parents native","Margin of Error!!Total:!!Under 1.00:!!Living with two parents:!!Both parents native","Estimate!!Total:!!Under 1.00:!!Living with two parents:!!Both parents foreign-born","Margin of Error!!Total:!!Under 1.00:!!Living with two parents:!!Both parents foreign-born","Estimate!!Total:!!Under 1.00:!!Living with two parents:!!One native and one foreign-born parent","Margin of Error!!Total:!!Under 1.00:!!Living with two parents:!!One native and one foreign-born parent","Estimate!!Total:!!Under 1.00:!!Living with one parent:","Margin of Error!!Total:!!Under 1.00:!!Living with one parent:","Estimate!!Total:!!Under 1.00:!!Living with one parent:!!Native parent","Margin of Error!!Total:!!Under 1.00:!!Living with one parent:!!Native parent","Estimate!!Total:!!Under 1.00:!!Living with one parent:!!Foreign-born parent","Margin of Error!!Total:!!Under 1.00:!!Living with one parent:!!Foreign-born parent","Estimate!!Total:!!1.00 to 1.99:","Margin of Error!!Total:!!1.00 to 1.99:","Estimate!!Total:!!1.00 to 1.99:!!Living with two parents:","Margin of Error!!Total:!!1.00 to 1.99:!!Living with two parents:","Estimate!!Total:!!1.00 to 1.99:!!Living with two parents:!!Both parents native","Margin of Error!!Total:!!1.00 to 1.99:!!Living with two parents:!!Both parents native","Estimate!!Total:!!1.00 to 1.99:!!Living with two parents:!!Both parents foreign-born","Margin of Error!!Total:!!1.00 to 1.99:!!Living with two parents:!!Both parents foreign-born","Estimate!!Total:!!1.00 to 1.99:!!Living with two parents:!!One native and one foreign-born parent","Margin of Error!!Total:!!1.00 to 1.99:!!Living with two parents:!!One native and one foreign-born parent","Estimate!!Total:!!1.00 to 1.99:!!Living with one parent:","Margin of Error!!Total:!!1.00 to 1.99:!!Living with one parent:","Estimate!!Total:!!1.00 to 1.99:!!Living with one parent:!!Native parent","Margin of Error!!Total:!!1.00 to 1.99:!!Living with one parent:!!Native parent","Estimate!!Total:!!1.00 to 1.99:!!Living with one parent:!!Foreign-born parent","Margin of Error!!Total:!!1.00 to 1.99:!!Living with one parent:!!Foreign-born parent","Estimate!!Total:!!2.00 and over:","Margin of Error!!Total:!!2.00 and over:","Estimate!!Total:!!2.00 and over:!!Living with two parents:","Margin of Error!!Total:!!2.00 and over:!!Living with two parents:","Estimate!!Total:!!2.00 and over:!!Living with two parents:!!Both parents native","Margin of Error!!Total:!!2.00 and over:!!Living with two parents:!!Both parents native","Estimate!!Total:!!2.00 and over:!!Living with two parents:!!Both parents foreign-born","Margin of Error!!Total:!!2.00 and over:!!Living with two parents:!!Both parents foreign-born","Estimate!!Total:!!2.00 and over:!!Living with two parents:!!One native and one foreign-born parent","Margin of Error!!Total:!!2.00 and over:!!Living with two parents:!!One native and one foreign-born parent","Estimate!!Total:!!2.00 and over:!!Living with one parent:","Margin of Error!!Total:!!2.00 and over:!!Living with one parent:","Estimate!!Total:!!2.00 and over:!!Living with one parent:!!Native parent","Margin of Error!!Total:!!2.00 and over:!!Living with one parent:!!Native parent","Estimate!!Total:!!2.00 and over:!!Living with one parent:!!Foreign-born parent","Margin of Error!!Total:!!2.00 and over:!!Living with one parent:!!Foreign-born parent",
"0400000US25","Massachusetts","1310294","2651","147496","4848","35060","2814","11621","1282","19533","2166","3906","851","112436","4980","78828","3895","33608","2986","168899","4710","71727","3287","27619","2164","35911","2066","8197","1129","97172","4025","63924","3233","33248","2230","993899","6256","784982","7124","537241","7106","151685","3279","96056","3408","208917","4106","163816","3998","45101","2082",
"1600000US2500135","Abington CDP, Massachusetts","3701","358","262","289","0","21","0","21","0","21","0","21","262","289","216","275","46","60","504","279","224","223","224","223","0","21","0","21","280","184","216","190","64","91","2935","341","2512","369","1769","412","352","262","391","273","423","246","405","242","18","32",
"1600000US2500530","Acushnet Center CDP, Massachusetts","409","181","92","109","16","30","16","30","0","14","0","14","76","105","76","105","0","14","63","57","31","37","31","37","0","14","0","14","32","39","32","39","0","14","254","129","205","118","112","69","10","17","83","98","49","41","49","41","0","14",
"1600000US2500590","Adams CDP, Massachusetts","757","207","136","110","0","19","0","19","0","19","0","19","136","110","85","78","51","72","107","114","0","19","0","19","0","19","0","19","107","114","107","114","0","19","514","216","294","164","294","164","0","19","0","19","220","150","220","150","0","19",
"1600000US2500840","Agawam Town city, Massachusetts","4732","384","159","111","41","60","27","49","14","36","0","25","118","96","118","96","0","25","890","314","481","279","392","262","89","114","0","25","409","191","347","206","62","74","3683","410","2997","442","2397","386","432","242","168","123","686","257","642","251","44","67",
"1600000US2501185","Amesbury city, Massachusetts","3382","262","251","180","0","21","0","21","0","21","0","21","251","180","119","104","132","146","451","213","225","160","68","100","135","127","22","33","226","162","205","160","21","32","2680","269","2140","309","1883","298","90","125","167","138","540","217","424","196","116","119",
"1600000US2501370","Amherst Town city, Massachusetts","2692","290","469","208","38","58","38","58","0","29","0","29","431","186","382","190","49","81","132","105","72","78","47","68","25","38","0","29","60","69","60","69","0","29","2091","324","1804","340","953","325","295","128","556","330","287","167","146","110","141","132",
"1600000US2501430","Andover CDP, Massachusetts","1524","322","84","87","16","24","0","19","16","24","0","19","68","81","68","81","0","19","62","55","40","48","33","41","7","23","0","19","22","25","10","16","12","19","1378","302","1152","289","962","281","77","55","113","82","226","141","160","110","66","94",
"1600000US2501640","Arlington CDP, Massachusetts","9280","541","179","133","112","101","112","101","0","29","0","29","67","87","0","29","67","87","280","165","154","121","0","29","154","121","0","29","126","108","84","96","42","49","8821","503","7995","520","5164","600","1494","345","1337","320","826","245","722","243","104","71",
