"GEO_ID","NAME","B06011_001E","B06011_001M","B06011_002E","B06011_002M","B06011_003E","B06011_003M","B06011_004E","B06011_004M","B06011_005E","B06011_005M",
"Geography","Geographic Area Name","Estimate!!Median income in the past 12 months --!!Total:","Margin of Error!!Median income in the past 12 months --!!Total:","Estimate!!Median income in the past 12 months --!!Total:!!Born in state of residence","Margin of Error!!Median income in the past 12 months --!!Total:!!Born in state of residence","Estimate!!Median income in the past 12 months --!!Total:!!Born in other state of the United States","Margin of Error!!Median income in the past 12 months --!!Total:!!Born in other state of the United States","Estimate!!Median income in the past 12 months --!!Total:!!Native; born outside the United States","Margin of Error!!Median income in the past 12 months --!!Total:!!Native; born outside the United States","Estimate!!Median income in the past 12 months --!!Total:!!Foreign born","Margin of Error!!Median income in the past 12 months --!!Total:!!Foreign born",
"0400000US25","Massachusetts","50088","274","48553","317","64882","745","29869","1214","45281","507",
"1600000US2500135","Abington CDP, Massachusetts","54307","4165","55954","5796","56295","14546","170795","138463","50841","17857",
"1600000US2500530","Acushnet Center CDP, Massachusetts","38232","9534","38689","8983","-","**","4091","1692","51833","31506",
"1600000US2500590","Adams CDP, Massachusetts","37051","3986","38681","2430","32795","8620","-","**","27781","18899",
"1600000US2500840","Agawam Town city, Massachusetts","43328","2248","42433","2907","49763","14572","21089","4893","36707","9510",
"1600000US2501185","Amesbury city, Massachusetts","58364","4736","56461","5811","67052","11801","38733","35091","48292","14716",
"1600000US2501370","Amherst Town city, Massachusetts","11606","714","9618","767","17936","2766","-","**","15217","5375",
"1600000US2501430","Andover CDP, Massachusetts","46858","5180","40279","12349","60320","35194","250,000+","***","49940","30210",
"1600000US2501640","Arlington CDP, Massachusetts","82211","3136","61887","3962","108218","6985","72426","51413","94048","14868",
"1600000US2502515","Athol CDP, Massachusetts","31114","3755","30515","4706","31610","7517","26467","25074","40000","24534",
"1600000US2502690","Attleboro city, Massachusetts","47713","2483","48908","2938","49396","4177","42143","26451","40805","5340",
"1600000US2503040","Ayer CDP, Massachusetts","53963","7553","50360","6838","67946","35426","80694","31289","100809","76877",
"1600000US2503355","Baldwinville CDP, Massachusetts","45594","10267","45659","10503","39896","18157","-","**","2,500-","***",
"1600000US2503690","Barnstable Town city, Massachusetts","46405","2055","46723","3444","57866","4681","36528","35647","38800","4213",
"1600000US2503705","Barre CDP, Massachusetts","41667","10929","41891","8551","71013","41849","-","**","-","**",
"1600000US2504790","Belchertown CDP, Massachusetts","41435","16882","37546","8103","64261","18378","-","**","-","**",
"1600000US2504965","Bellingham CDP, Massachusetts","55120","10743","56859","11409","55156","39935","29814","26255","38816","22518",
"1600000US2505105","Belmont CDP, Massachusetts","86099","5579","65745","6470","109679","8865","-","**","95719","9199",
"1600000US2505595","Beverly city, Massachusetts","51355","2733","48303","2917","64951","8051","48173","10805","42314","9496",
"1600000US2506050","Blandford CDP, Massachusetts","52563","9746","52778","9196","50625","38923","-","**","-","**",
"1600000US2506170","Bliss Corner CDP, Massachusetts","36055","4072","36916","5390","29922","17782","11891","8731","35417","23253",
"1600000US2507000","Boston city, Massachusetts","49587","865","52957","1291","67710","2314","26115","5782","37821","1467",
"1600000US2507140","Bourne CDP, Massachusetts","49429","27735","47846","29544","78640","25302","-","**","56477","33337",
"1600000US2507385","Boxford CDP, Massachusetts","81346","37990","83750","60116","58092","40079","-","**","-","**",
"1600000US2507740","Braintree Town city, Massachusetts","58921","2552","53545","3755","73103","12131","-","**","62106","6720",
"1600000US2507945","Brewster CDP, Massachusetts","49705","13105","32134","8134","68802","10410","-","**","-","**",
"1600000US2508130","Bridgewater Town city, Massachusetts","43411","4506","44783","4081","33569","7813","-","**","53505","21005",
"1600000US2509000","Brockton city, Massachusetts","38381","1578","37834","2566","40102","8696","26809","9294","39098","2236",
"1600000US2509070","Brookfield CDP, Massachusetts","36793","35349","36793","35338","-","**","-","**","-","**",
"1600000US2509210","Brookline CDP, Massachusetts","76433","2972","65358","9757","85128","4142","53333","30403","73870","6927",
"1600000US2509875","Burlington CDP, Massachusetts","62387","7882","55576","7850","73244","7024","78000","54926","91060","26744",
"1600000US2510015","Buzzards Bay CDP, Massachusetts","42742","12594","44688","13633","37177","14085","-","**","44750","35276",
"1600000US2511000","Cambridge city, Massachusetts","63162","2800","55182","4270","67648","4952","53207","14658","62022","3263",
"1600000US2511945","Cedar Crest CDP, Massachusetts","87783","5321","89764","5705","85096","15261","-","**","-","**",
"1600000US2512960","Chatham CDP, Massachusetts","51769","5672","45938","9804","61359","8323","-","**","-","**",
"1600000US2513205","Chelsea city, Massachusetts","35191","1599","33195","2507","63803","13789","25863","11246","34321","2256",
"1600000US2513310","Cheshire CDP, Massachusetts","33972","4198","34173","4372","-","**","-","**","-","**",
