"GEO_ID","NAME","B25003_001E","B25003_001M","B25003_002E","B25003_002M","B25003_003E","B25003_003M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Owner occupied","Margin of Error!!Total:!!Owner occupied","Estimate!!Total:!!Renter occupied","Margin of Error!!Total:!!Renter occupied",
"0400000US25","Massachusetts","2785042","5182","1741158","8598","1043884","6942",
"1600000US2500135","Abington CDP, Massachusetts","6388","351","4641","344","1747","319",
"1600000US2500530","Acushnet Center CDP, Massachusetts","1354","198","1134","215","220","107",
"1600000US2500590","Adams CDP, Massachusetts","2926","271","1659","230","1267","237",
"1600000US2500840","Agawam Town city, Massachusetts","11979","396","8914","423","3065","351",
"1600000US2501185","Amesbury city, Massachusetts","7586","315","5204","381","2382","403",
"1600000US2501370","Amherst Town city, Massachusetts","9700","449","4288","426","5412","520",
"1600000US2501430","Andover CDP, Massachusetts","3467","383","2290","347","1177","171",
"1600000US2501640","Arlington CDP, Massachusetts","20005","474","12325","477","7680","541",
"1600000US2502515","Athol CDP, Massachusetts","3368","289","2145","218","1223","228",
"1600000US2502690","Attleboro city, Massachusetts","17933","514","11875","587","6058","644",
"1600000US2503040","Ayer CDP, Massachusetts","1511","194","878","160","633","161",
"1600000US2503355","Baldwinville CDP, Massachusetts","923","181","724","212","199","119",
"1600000US2503690","Barnstable Town city, Massachusetts","21413","582","16219","698","5194","579",
"1600000US2503705","Barre CDP, Massachusetts","391","183","233","133","158","130",
"1600000US2504790","Belchertown CDP, Massachusetts","1107","275","775","160","332","194",
"1600000US2504965","Bellingham CDP, Massachusetts","2163","318","1489","253","674","266",
"1600000US2505105","Belmont CDP, Massachusetts","10412","287","6739","307","3673","351",
"1600000US2505595","Beverly city, Massachusetts","16980","520","10212","503","6768","589",
"1600000US2506050","Blandford CDP, Massachusetts","198","63","198","63","0","14",
"1600000US2506170","Bliss Corner CDP, Massachusetts","2331","326","1478","326","853","238",
"1600000US2507000","Boston city, Massachusetts","283374","1403","101166","2226","182208","2329",
"1600000US2507140","Bourne CDP, Massachusetts","913","153","741","137","172","91",
"1600000US2507385","Boxford CDP, Massachusetts","781","180","704","166","77","105",
"1600000US2507740","Braintree Town city, Massachusetts","14432","419","11199","469","3233","364",
"1600000US2507945","Brewster CDP, Massachusetts","856","202","688","183","168","100",
"1600000US2508130","Bridgewater Town city, Massachusetts","9100","369","6876","432","2224","306",
"1600000US2509000","Brockton city, Massachusetts","36042","726","20677","768","15365","791",
"1600000US2509070","Brookfield CDP, Massachusetts","300","88","255","88","45","32",
"1600000US2509210","Brookline CDP, Massachusetts","27587","731","12925","689","14662","768",
"1600000US2509875","Burlington CDP, Massachusetts","9974","377","7402","363","2572","308",
"1600000US2510015","Buzzards Bay CDP, Massachusetts","1372","176","1038","164","334","118",
"1600000US2511000","Cambridge city, Massachusetts","49444","765","16547","629","32897","745",
"1600000US2511945","Cedar Crest CDP, Massachusetts","668","196","668","196","0","14",
"1600000US2512960","Chatham CDP, Massachusetts","918","168","669","144","249","110",
"1600000US2513205","Chelsea city, Massachusetts","13716","635","3568","445","10148","681",
"1600000US2513310","Cheshire CDP, Massachusetts","392","163","299","170","93","86",
"1600000US2513450","Chester CDP, Massachusetts","242","60","160","48","82","40",
"1600000US2513660","Chicopee city, Massachusetts","24424","730","13611","644","10813","777",
"1600000US2514430","Clinton CDP, Massachusetts","3459","359","1657","266","1802","297",
"1600000US2514570","Cochituate CDP, Massachusetts","2432","189","2082","201","350","113",
"1600000US2515340","Cordaville CDP, Massachusetts","1024","163","961","156","63","52",
"1600000US2516285","Danvers CDP, Massachusetts","11005","478","7619","501","3386","398",
"1600000US2516530","Dedham CDP, Massachusetts","10530","267","7729","449","2801","378",
"1600000US2516635","Deerfield CDP, Massachusetts","185","88","95","66","90","55",
"1600000US2516740","Dennis CDP, Massachusetts","1139","143","977","123","162","89",
"1600000US2516810","Dennis Port CDP, Massachusetts","1956","258","1344","242","612","181",
"1600000US2516840","Devens CDP, Massachusetts","232","58","184","52","48","30",
"1600000US2517370","Dover CDP, Massachusetts","754","127","738","128","16","18",
"1600000US2517860","Duxbury CDP, Massachusetts","830","273","802","271","28","34",
"1600000US2518595","East Brookfield CDP, Massachusetts","619","134","478","76","141","125",
"1600000US2518840","East Dennis CDP, Massachusetts","1370","201","1186","200","184","106",
"1600000US2518875","East Douglas CDP, Massachusetts","1159","161","727","169","432","162",
"1600000US2518980","East Falmouth CDP, Massachusetts","2963","353","2596","336","367","181",
"1600000US2519365","Easthampton city, Massachusetts","7642","301","4462","407","3180","426",
"1600000US2519400","East Harwich CDP, Massachusetts","2670","267","2443","287","227","155",
"1600000US2520310","East Pepperell CDP, Massachusetts","799","165","676","162","123","62",
"1600000US2520380","East Sandwich CDP, Massachusetts","1640","283","1476","235","164","125",
"1600000US2521115","Edgartown CDP, Massachusetts","316","220","316","220","0","14",
"1600000US2521815","Essex CDP, Massachusetts","579","103","421","81","158","76",
"1600000US2521990","Everett city, Massachusetts","17466","735","6499","468","10967","777",
"1600000US2523000","Fall River city, Massachusetts","41991","828","14824","852","27167","978",
"1600000US2523070","Falmouth CDP, Massachusetts","2091","281","1137","164","954","247",
"1600000US2523840","Fiskdale CDP, Massachusetts","1042","152","726","124","316","126",
"1600000US2523875","Fitchburg city, Massachusetts","16659","616","9007","657","7652","684",
"1600000US2524190","Forestdale CDP, Massachusetts","1498","272","1331","269","167","115",
"1600000US2524855","Foxborough CDP, Massachusetts","2748","256","1400","243","1348","219",
"1600000US2524960","Framingham city, Massachusetts","26803","730","14680","607","12123","646",
"1600000US2525172","Franklin Town city, Massachusetts","12370","355","9671","351","2699","314",
"1600000US2525485","Gardner city, Massachusetts","8940","349","5263","411","3677","427",
"1600000US2526150","Gloucester city, Massachusetts","13444","416","8597","508","4847","475",
"1600000US2526500","Granby CDP, Massachusetts","436","131","405","128","31","35",
"1600000US2526780","Great Barrington CDP, Massachusetts","1033","210","607","124","426","160",
"1600000US2527060","Greenfield city, Massachusetts","8182","252","4558","270","3624","267",
"1600000US2527130","Green Harbor CDP, Massachusetts","495","289","495","289","0","14",
"1600000US2527445","Groton CDP, Massachusetts","362","101","271","89","91","49",
"1600000US2528425","Hanscom AFB CDP, Massachusetts","680","229","0","14","680","229",
"1600000US2528460","Hanson CDP, Massachusetts","686","102","686","102","0","14",
